,poverty_percentage,join_key
634,0.1,"(56.0, 2018)"
635,0.1,"(56.0, 2019)"
636,0.1,"(56.0, 2020)"
637,0.1,"(56.0, 2021)"
648,24.5,"(62.0, 2010)"
649,19.8,"(62.0, 2011)"
650,18.1,"(62.0, 2012)"
651,16.1,"(62.0, 2013)"
652,14.3,"(62.0, 2014)"
653,14.3,"(62.0, 2015)"
654,14.3,"(62.0, 2016)"
655,14.3,"(62.0, 2017)"
656,14.3,"(62.0, 2018)"
657,14.3,"(62.0, 2019)"
658,14.3,"(62.0, 2020)"
659,14.3,"(62.0, 2021)"
670,8.2,"(64.0, 2010)"
671,8.2,"(64.0, 2011)"
672,2.2,"(64.0, 2012)"
673,2.2,"(64.0, 2013)"
674,2.2,"(64.0, 2014)"
675,2.2,"(64.0, 2015)"
676,2.2,"(64.0, 2016)"
677,1.5,"(64.0, 2017)"
678,1.5,"(64.0, 2018)"
679,1.5,"(64.0, 2019)"
680,1.5,"(64.0, 2020)"
681,1.5,"(64.0, 2021)"
692,10.3,"(68.0, 2010)"
693,7.2,"(68.0, 2011)"
694,8.2,"(68.0, 2012)"
695,6.9,"(68.0, 2013)"
696,5.7,"(68.0, 2014)"
697,6.3,"(68.0, 2015)"
698,7.5,"(68.0, 2016)"
699,6.5,"(68.0, 2017)"
700,4.9,"(68.0, 2018)"
701,3.2,"(68.0, 2019)"
702,3.2,"(68.0, 2020)"
703,3.2,"(68.0, 2021)"
714,0.1,"(70.0, 2010)"
715,0.1,"(70.0, 2011)"
716,0.1,"(70.0, 2012)"
717,0.1,"(70.0, 2013)"
718,0.1,"(70.0, 2014)"
719,0.1,"(70.0, 2015)"
720,0.1,"(70.0, 2016)"
721,0.1,"(70.0, 2017)"
722,0.1,"(70.0, 2018)"
723,0.1,"(70.0, 2019)"
724,0.1,"(70.0, 2020)"
725,0.1,"(70.0, 2021)"
736,17.2,"(72.0, 2010)"
737,17.2,"(72.0, 2011)"
738,17.2,"(72.0, 2012)"
739,17.2,"(72.0, 2013)"
740,17.2,"(72.0, 2014)"
741,14.5,"(72.0, 2015)"
742,14.5,"(72.0, 2016)"
743,14.5,"(72.0, 2017)"
744,14.5,"(72.0, 2018)"
745,14.5,"(72.0, 2019)"
746,14.5,"(72.0, 2020)"
747,14.5,"(72.0, 2021)"
758,5.4,"(76.0, 2010)"
759,4.7,"(76.0, 2011)"
760,3.7,"(76.0, 2012)"
761,3.1,"(76.0, 2013)"
762,2.7,"(76.0, 2014)"
763,3.2,"(76.0, 2015)"
764,3.9,"(76.0, 2016)"
765,4.4,"(76.0, 2017)"
766,4.4,"(76.0, 2018)"
767,4.6,"(76.0, 2019)"
768,4.6,"(76.0, 2020)"
769,4.6,"(76.0, 2021)"
780,48.6,"(90.0, 2010)"
781,48.6,"(90.0, 2011)"
782,24.7,"(90.0, 2012)"
783,24.7,"(90.0, 2013)"
784,24.7,"(90.0, 2014)"
785,24.7,"(90.0, 2015)"
786,24.7,"(90.0, 2016)"
787,24.7,"(90.0, 2017)"
788,24.7,"(90.0, 2018)"
789,24.7,"(90.0, 2019)"
790,24.7,"(90.0, 2020)"
791,24.7,"(90.0, 2021)"
802,2.0,"(100.0, 2010)"
803,2.4,"(100.0, 2011)"
804,2.2,"(100.0, 2012)"
805,1.8,"(100.0, 2013)"
806,1.6,"(100.0, 2014)"
807,3.4,"(100.0, 2015)"
808,1.9,"(100.0, 2016)"
809,1.4,"(100.0, 2017)"
810,0.9,"(100.0, 2018)"
811,0.9,"(100.0, 2019)"
812,0.9,"(100.0, 2020)"
813,0.9,"(100.0, 2021)"
829,4.8,"(104.0, 2015)"
830,4.8,"(104.0, 2016)"
831,1.4,"(104.0, 2017)"
832,1.4,"(104.0, 2018)"
833,1.4,"(104.0, 2019)"
834,1.4,"(104.0, 2020)"
835,1.4,"(104.0, 2021)"
846,78.6,"(108.0, 2010)"
847,78.6,"(108.0, 2011)"
848,78.6,"(108.0, 2012)"
849,72.8,"(108.0, 2013)"
850,72.8,"(108.0, 2014)"
851,72.8,"(108.0, 2015)"
852,72.8,"(108.0, 2016)"
853,72.8,"(108.0, 2017)"
854,72.8,"(108.0, 2018)"
855,72.8,"(108.0, 2019)"
856,72.8,"(108.0, 2020)"
857,72.8,"(108.0, 2021)"
868,0.0,"(112.0, 2010)"
869,0.0,"(112.0, 2011)"
870,0.0,"(112.0, 2012)"
871,0.0,"(112.0, 2013)"
872,0.0,"(112.0, 2014)"
873,0.0,"(112.0, 2015)"
874,0.0,"(112.0, 2016)"
875,0.0,"(112.0, 2017)"
876,0.0,"(112.0, 2018)"
877,0.0,"(112.0, 2019)"
878,0.0,"(112.0, 2020)"
879,0.0,"(112.0, 2021)"
890,31.8,"(120.0, 2010)"
891,31.8,"(120.0, 2011)"
892,31.8,"(120.0, 2012)"
893,31.8,"(120.0, 2013)"
894,26.0,"(120.0, 2014)"
895,26.0,"(120.0, 2015)"
896,26.0,"(120.0, 2016)"
897,26.0,"(120.0, 2017)"
898,26.0,"(120.0, 2018)"
899,26.0,"(120.0, 2019)"
900,26.0,"(120.0, 2020)"
901,26.0,"(120.0, 2021)"
912,0.2,"(124.0, 2010)"
913,0.2,"(124.0, 2011)"
914,0.2,"(124.0, 2012)"
915,0.5,"(124.0, 2013)"
916,0.2,"(124.0, 2014)"
917,0.2,"(124.0, 2015)"
918,0.2,"(124.0, 2016)"
919,0.2,"(124.0, 2017)"
920,0.2,"(124.0, 2018)"
921,0.2,"(124.0, 2019)"
922,0.2,"(124.0, 2020)"
923,0.2,"(124.0, 2021)"
934,8.4,"(132.0, 2010)"
935,8.4,"(132.0, 2011)"
936,8.4,"(132.0, 2012)"
937,8.4,"(132.0, 2013)"
938,8.4,"(132.0, 2014)"
939,3.4,"(132.0, 2015)"
940,3.4,"(132.0, 2016)"
941,3.4,"(132.0, 2017)"
942,3.4,"(132.0, 2018)"
943,3.4,"(132.0, 2019)"
944,3.4,"(132.0, 2020)"
945,3.4,"(132.0, 2021)"
956,15.9,"(135.0, 2010)"
957,15.9,"(135.0, 2011)"
958,15.9,"(135.0, 2012)"
959,15.9,"(135.0, 2013)"
960,15.9,"(135.0, 2014)"
961,15.9,"(135.0, 2015)"
962,15.9,"(135.0, 2016)"
963,15.9,"(135.0, 2017)"
964,15.9,"(135.0, 2018)"
965,15.9,"(135.0, 2019)"
966,15.9,"(135.0, 2020)"
967,15.9,"(135.0, 2021)"
978,65.9,"(140.0, 2010)"
979,65.9,"(140.0, 2011)"
980,65.9,"(140.0, 2012)"
981,65.9,"(140.0, 2013)"
982,65.9,"(140.0, 2014)"
983,65.9,"(140.0, 2015)"
984,65.9,"(140.0, 2016)"
985,65.9,"(140.0, 2017)"
986,65.9,"(140.0, 2018)"
987,65.9,"(140.0, 2019)"
988,65.9,"(140.0, 2020)"
989,65.9,"(140.0, 2021)"
1000,15.8,"(142.0, 2010)"
1001,12.5,"(142.0, 2011)"
1002,11.2,"(142.0, 2012)"
1003,8.7,"(142.0, 2013)"
1004,7.7,"(142.0, 2014)"
1005,6.7,"(142.0, 2015)"
1006,5.8,"(142.0, 2016)"
1007,5.1,"(142.0, 2017)"
1008,2.4,"(142.0, 2018)"
1009,2.2,"(142.0, 2019)"
1010,2.2,"(142.0, 2020)"
1011,2.2,"(142.0, 2021)"
1022,25.7,"(143.0, 2010)"
1023,25.7,"(143.0, 2011)"
1024,25.7,"(143.0, 2012)"
1025,25.7,"(143.0, 2013)"
1026,25.7,"(143.0, 2014)"
1027,25.7,"(143.0, 2015)"
1028,25.7,"(143.0, 2016)"
1029,25.7,"(143.0, 2017)"
1030,25.7,"(143.0, 2018)"
1031,25.7,"(143.0, 2019)"
1032,25.7,"(143.0, 2020)"
