,join_key,full_time_researchers_per_million
587,"(180, 2015)",10.56469
588,"(180, 2016)",10.56469
589,"(180, 2017)",10.56469
590,"(180, 2018)",10.56469
591,"(180, 2019)",10.56469
592,"(180, 2020)",10.56469
593,"(180, 2021)",10.56469
604,"(188, 2010)",381.87801
605,"(188, 2011)",406.20873
606,"(188, 2012)",337.24403
607,"(188, 2013)",355.11641
608,"(188, 2014)",568.46192
609,"(188, 2015)",495.2758
610,"(188, 2016)",525.37635
611,"(188, 2017)",380.40758
612,"(188, 2018)",345.03858
613,"(188, 2019)",345.03858
614,"(188, 2020)",345.03858
615,"(188, 2021)",345.03858
626,"(191, 2010)",1641.34223
627,"(191, 2011)",1587.48964
628,"(191, 2012)",1556.84123
629,"(191, 2013)",1526.68079
630,"(191, 2014)",1437.42986
631,"(191, 2015)",1504.17896
632,"(191, 2016)",1850.49572
633,"(191, 2017)",1868.34023
634,"(191, 2018)",1921.13136
635,"(191, 2019)",1921.13136
636,"(191, 2020)",1921.13136
637,"(191, 2021)",1921.13136
648,"(196, 2010)",1077.70041
649,"(196, 2011)",1063.79153
650,"(196, 2012)",1017.46435
651,"(196, 2013)",1036.13054
652,"(196, 2014)",1064.92501
653,"(196, 2015)",1009.05438
654,"(196, 2016)",1050.53568
655,"(196, 2017)",1196.43246
656,"(196, 2018)",1255.85256
657,"(196, 2019)",1255.85256
658,"(196, 2020)",1255.85256
659,"(196, 2021)",1255.85256
670,"(203, 2010)",2773.95996
671,"(203, 2011)",2903.66154
672,"(203, 2012)",3139.23525
673,"(203, 2013)",3237.23584
674,"(203, 2014)",3402.82622
675,"(203, 2015)",3592.07367
676,"(203, 2016)",3516.17175
677,"(203, 2017)",3682.03353
678,"(203, 2018)",3862.67088
679,"(203, 2019)",3862.67088
680,"(203, 2020)",3862.67088
681,"(203, 2021)",3862.67088
692,"(208, 2010)",6739.18115
693,"(208, 2011)",7017.93917
694,"(208, 2012)",7143.2887
695,"(208, 2013)",7071.13776
696,"(208, 2014)",7310.65804
697,"(208, 2015)",7528.26439
698,"(208, 2016)",7846.65759
699,"(208, 2017)",7924.95265
700,"(208, 2018)",8065.88729
701,"(208, 2019)",8065.88729
702,"(208, 2020)",8065.88729
703,"(208, 2021)",8065.88729
714,"(218, 2010)",140.58063
715,"(218, 2011)",179.50769
716,"(218, 2012)",281.16658
717,"(218, 2013)",350.66109
718,"(218, 2014)",399.48996
719,"(218, 2015)",399.48996
720,"(218, 2016)",399.48996
721,"(218, 2017)",399.48996
722,"(218, 2018)",399.48996
723,"(218, 2019)",399.48996
724,"(218, 2020)",399.48996
725,"(218, 2021)",399.48996
741,"(222, 2015)",63.23987
742,"(222, 2016)",65.76315
743,"(222, 2017)",63.71196
744,"(222, 2018)",71.17553
745,"(222, 2019)",71.17553
746,"(222, 2020)",71.17553
747,"(222, 2021)",71.17553
758,"(231, 2010)",42.22959
759,"(231, 2011)",42.22959
760,"(231, 2012)",42.22959
761,"(231, 2013)",44.73122
762,"(231, 2014)",44.73122
763,"(231, 2015)",44.73122
764,"(231, 2016)",44.73122
765,"(231, 2017)",90.52892
766,"(231, 2018)",90.52892
767,"(231, 2019)",90.52892
768,"(231, 2020)",90.52892
769,"(231, 2021)",90.52892
780,"(233, 2010)",3060.57874
781,"(233, 2011)",3397.58185
782,"(233, 2012)",3462.92471
783,"(233, 2013)",3341.01051
784,"(233, 2014)",3284.26311
785,"(233, 2015)",3183.24369
786,"(233, 2016)",3295.07562
787,"(233, 2017)",3542.54618
788,"(233, 2018)",3755.32912
789,"(233, 2019)",3755.32912
790,"(233, 2020)",3755.32912
791,"(233, 2021)",3755.32912
802,"(234, 2010)",1813.12194
803,"(234, 2011)",1813.12194
804,"(234, 2012)",1813.12194
805,"(234, 2013)",1813.12194
806,"(234, 2014)",1813.12194
807,"(234, 2015)",1813.12194
808,"(234, 2016)",1813.12194
809,"(234, 2017)",1813.12194
810,"(234, 2018)",1813.12194
811,"(234, 2019)",1813.12194
812,"(234, 2020)",1813.12194
813,"(234, 2021)",1813.12194
824,"(246, 2010)",7720.22345
825,"(246, 2011)",7421.582
826,"(246, 2012)",7473.70618
827,"(246, 2013)",7206.5324
828,"(246, 2014)",7009.28753
829,"(246, 2015)",6844.54752
830,"(246, 2016)",6531.47954
831,"(246, 2017)",6721.83019
832,"(246, 2018)",6861.10974
833,"(246, 2019)",6861.10974
