,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
3565,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
3574,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,12,4.84779,0.0,0.0,0.37655,89.11206,0
3578,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,33,0.0,0.0,0.0,0.26654,38.75703,1
3589,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3,73,0.0,0.0,0.0,25.0,10.0,1
3591,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,0.0,0.53706,10.0,0
3602,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,0.03229,18.81599,0
3609,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,21,0.0,0.0,0.0,25.0,10.0,1
3625,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,21,0.0,0.0,0.0,25.0,10.0,1
3626,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,130,0.0,0.0,0.0,0.13223,38.78981,1
3638,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,0.0,25.0,10.0,0
3643,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.33713,300.25538,1
3649,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.7,11,0.0,0.0,0.0,0.31312,42.96538,0
3667,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.9,621,28.1363,30.09174,0.0,0.22633,215.99355,1
3669,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.5,20,0.0,0.0,0.0,25.0,10.0,1
3671,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,74,80.89702,86.15665,0.0,0.52674,707.74357,1
3674,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,21,31.90613,50.04612,0.0,1.16038,887.67844,1
3675,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,34.78746,32.23049,0.0,25.0,10.0,0
3676,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,39.5,38.3,0.0,0.65282,252.70392,1
3677,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,94,14.15759,19.37729,70.0,0.15683,105.68078,1
3681,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,10,0.0,0.0,0.0,25.0,10.0,0
3684,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,58.50222,54.1672,60.0,1.04086,2184.7224,1
3691,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,30,78.9,79.6,95.0,2.14058,1307.12128,1
3693,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,8,72.89155,80.73416,0.0,2.83283,4412.43542,0
3694,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,43.75356,55.306,0.0,0.31291,315.2625,0
3703,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,92.0,88.75278,0.0,1.92465,6802.53716,1
3704,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2,40,25.4186,40.12246,0.0,0.12715,10.0,1
3707,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
3709,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1,0.0,0.0,0.0,25.0,10.0,0
3710,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,21,0.0,0.0,0.0,25.0,10.0,1
3715,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49.9,13,0.0,0.0,0.0,0.03229,18.81599,0
3716,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.7,11,0.0,0.0,0.0,0.31312,42.96538,0
3722,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68.6,19,0.0,0.0,0.0,25.0,10.0,1
3728,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,33,0.0,0.0,0.0,0.26654,48.05369,1
